id,subject,topic,difficulty,question,options,answer
1,Math,Algebra,Easy,Sample question 1 - This is a easy Algebra question for Math,"['A', 'B', 'C', 'D']",C
2,Math,Algebra,Easy,Sample question 2 - This is a easy Algebra question for Math,"['A', 'B', 'C', 'D']",C
3,Math,Algebra,Easy,Sample question 3 - This is a easy Algebra question for Math,"['A', 'B', 'C', 'D']",D
4,Math,Algebra,Easy,Sample question 4 - This is a easy Algebra question for Math,"['A', 'B', 'C', 'D']",D
5,Math,Algebra,Easy,Sample question 5 - This is a easy Algebra question for Math,"['A', 'B', 'C', 'D']",D
6,Math,Algebra,Easy,Sample question 6 - This is a easy Algebra question for Math,"['A', 'B', 'C', 'D']",D
7,Math,Algebra,Easy,Sample question 7 - This is a easy Algebra question for Math,"['A', 'B', 'C', 'D']",B
8,Math,Algebra,Easy,Sample question 8 - This is a easy Algebra question for Math,"['A', 'B', 'C', 'D']",D
9,Math,Algebra,Easy,Sample question 9 - This is a easy Algebra question for Math,"['A', 'B', 'C', 'D']",A
10,Math,Algebra,Easy,Sample question 10 - This is a easy Algebra question for Math,"['A', 'B', 'C', 'D']",C
11,Math,Algebra,Easy,Sample question 11 - This is a easy Algebra question for Math,"['A', 'B', 'C', 'D']",B
12,Math,Algebra,Easy,Sample question 12 - This is a easy Algebra question for Math,"['A', 'B', 'C', 'D']",C
13,Math,Algebra,Easy,Sample question 13 - This is a easy Algebra question for Math,"['A', 'B', 'C', 'D']",C
14,Math,Algebra,Easy,Sample question 14 - This is a easy Algebra question for Math,"['A', 'B', 'C', 'D']",A
15,Math,Algebra,Easy,Sample question 15 - This is a easy Algebra question for Math,"['A', 'B', 'C', 'D']",C
16,Math,Algebra,Easy,Sample question 16 - This is a easy Algebra question for Math,"['A', 'B', 'C', 'D']",B
17,Math,Algebra,Easy,Sample question 17 - This is a easy Algebra question for Math,"['A', 'B', 'C', 'D']",D
18,Math,Algebra,Easy,Sample question 18 - This is a easy Algebra question for Math,"['A', 'B', 'C', 'D']",A
